char_grid
p,e,s,s,i,m,i,s,t,s,k,r,i,p,t,s,e,n,s,e
e,r,a,h,n,e,n,o,e,k,o,a,d,a,e,q,u,a,t,s
d,o,t,a,t,i,o,n,s,i,m,p,e,l,s,u,e,d,e,s
a,b,t,m,u,s,e,n,t,e,m,p,e,l,t,a,r,o,t,w
l,e,e,r,s,t,r,e,s,s,a,e,r,a,a,w,a,r,e,e
e,r,l,o,e,s,a,n,i,m,o,r,h,o,m,b,u,s,p,i
z,e,i,c,h,e,n,b,e,e,r,b,e,n,e,o,z,a,e,n
e,r,n,k,e,i,m,a,g,r,e,e,m,e,n,t,a,l,t,a
l,a,n,d,s,t,a,d,e,l,s,t,a,r,t,e,e,e,i,n
t,r,e,u,t,e,i,l,r,e,t,t,b,e,r,g,h,i,t,s

row_words
pessimist,skript,sense
erahnen,oeko,adaequat
dotation,simpel,sued,es
abt,musentempel,tarot
leer,stress,aera,aware
erloes,animo,rhombus,pi
zeichen,beerben,eozaen
ern,keim,agreement,alt
land,stadel,star,tee,ein
treu,teil,rettberg,hit

col_words
pedale,zelt
eroberer,ar
sattel,inne
shamrock,du
intus,ehest
meist,seite
in,oe,ran,mai
sonnenbad
testsieger
ski,es,merle
komma,orest
rapper,bett
idee,rhema
palla,on,er
testament
squaw,bote
euer,au,zaeh
na,dorsale
stete,petit
esswein,ans
